Case;VehCat;Year;TrafficScenario;Component;RoadCat;TrafficSit;Gradient;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;V;V_0%;V_100%;EFA;EFA_0%;EFA_100%;V_weighted;V_weighted_0%;V_weighted_100%;EFA_weighted;EFA_weighted_0%;EFA_weighted_100%;AmbientCondPattern;EFA_WTT;EFA_WTT_0%;EFA_WTT_100%;EFA_WTW;EFA_WTW_0%;EFA_WTW_100%;EFA_WTW_100%
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423310;RT >12-14t Euro-I;diesel;RT >12-14t;HGV D Euro-I;394653.4063;7.00E-05;38.10468674;38.18581009;37.9736824;1.321156621;1.210907817;1.448180437;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423330;RT >12-14t Euro-III;diesel;RT >12-14t;HGV D Euro-III;344857.7188;0.000289917;38.18060303;38.18581009;38.17019653;1.407048345;1.346475959;1.474163651;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423410;RT >14-20t Euro-I;diesel;RT >14-20t;HGV D Euro-I;766040.1875;0.000115294;38.08395386;38.1848526;37.96131516;1.350374818;1.138409376;1.587086201;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423430;RT >14-20t Euro-III;diesel;RT >14-20t;HGV D Euro-III;659932.5;0.001426681;38.13716507;38.18577194;38.0408783;1.399163008;1.299316287;1.503010988;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423510;RT >20-26t Euro-I;diesel;RT >20-26t;HGV D Euro-I;1281293;5.47E-05;38.17467117;38.18581009;38.15283585;2.004661083;1.831713319;2.223878384;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423530;RT >20-26t Euro-III;diesel;RT >20-26t;HGV D Euro-III;1103041.25;0.001076686;38.18114853;38.18581009;38.17183304;2.133043289;2.016686201;2.279738188;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423610;RT >26-28t Euro-I;diesel;RT >26-28t;HGV D Euro-I;1136962.375;2.33E-06;38.13260269;38.18571854;38.10723495;2.03242135;1.72852695;2.377577543;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423630;RT >26-28t Euro-III;diesel;RT >26-28t;HGV D Euro-III;955644.25;6.03E-05;38.17493057;38.18581009;38.15318298;2.179886818;2.021953106;2.363861561;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423710;RT >28-32t Euro-I;diesel;RT >28-32t;HGV D Euro-I;990090.9375;3.23E-05;38.14865494;38.18579483;38.12159729;2.338990211;1.979828715;2.757489204;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
2020_detailed_URBLocal50[4.1];HGV;2020;REF D HB41;CO;Urban;URB/Local/50/Freeflow;0%;1423730;RT >28-32t Euro-III;diesel;RT >28-32t;HGV D Euro-III;851132.75;0.000873261;38.15367126;38.18581009;38.08944321;2.368250608;2.133343458;2.633497953;38.16640472;38.18578339;38.13743973;0.67141211;0.560917616;0.778021693;;;;;;;;
