Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;IDSubsegment;Subsegment;Technology;SizeClasse;EmConcept;KM;%OfSubsegment;EFA;EFA_weighted;EFA_km;EFA_km_weighted;EFA_WTT;EFA_WTT_km;EFA_WTW;EFA_WTW_km
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,10-11h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.428111196;1.475811362;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;8.118123055;1.532658458;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,11-12h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.444601744;1.532658458;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;8.268676758;1.561082006;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;HC;Urban;TØ,>12h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.452847004;1.561082006;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;4.630700111;0.990418673;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.27717945;0.990418673;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;12.00911522;2.657198191;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.518701017;2.657198191;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;16.33059502;3.687782526;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.668656528;3.687782526;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;21.08309174;4.777820587;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.855183363;4.777820587;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;24.23110771;5.500161648;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.97859019;5.500161648;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;25.87206459;5.872639656;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.044861436;5.872639656;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;27.51302147;6.245115757;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,6-7h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.111132622;6.245115757;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;29.15397835;6.617593765;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,7-8h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.177403808;6.617593765;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;30.79493332;6.990069866;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,8-9h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.243674874;6.990069866;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;32.4358902;7.362546444;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,9-10h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.30994606;7.362546444;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;34.07684708;7.735023499;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,10-11h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.376217246;7.735023499;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;35.71780396;8.107503891;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,11-12h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.442488432;8.107503891;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;36.53828049;8.293737411;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,>12h,0-1km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.475623965;8.293737411;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;4.631231785;0.997770488;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,0-1h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;0.389538258;0.997770488;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;12.87255383;2.770987749;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,1-2h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.04483521;2.770987749;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;18.54477501;3.989943981;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,2-3h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.442341805;3.989943981;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;24.28437614;5.224170685;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,3-4h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;1.866823196;5.224170685;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;28.10585594;6.0458951;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,4-5h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;2.148082495;6.0458951;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;30.0092144;6.455329895;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,5-6h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;2.293553114;6.455329895;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,6-7h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;31.91257286;6.86476326;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,6-7h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;2.439023495;6.86476326;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,7-8h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;33.81593323;7.274198055;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,7-8h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;2.584493876;7.274198055;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,8-9h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;35.71929169;7.683633327;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,8-9h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;2.729964495;7.683633327;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,9-10h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;37.62264633;8.093067169;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,9-10h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;2.875434875;8.093067169;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,10-11h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;39.52600479;8.502501488;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,10-11h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;3.020905256;8.502501488;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,11-12h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;41.42936325;8.91193676;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,11-12h,1-2km;121930;PC diesel Euro-3;diesel;not specified;PC D Euro-3;348599.625;0.01882598;3.166375637;8.91193676;;;;;;
2020ColdDetailed[4.1];pass. car;2020;REF D HB41;CO;Urban;TØ,>12h,1-2km;111910;PC petrol Euro-1;petrol (4S);not specified;PC P Euro-1;268872.7813;0.007423429;42.3810463;9.116653442;;;;;;
