Wohnort;Wohnort-Name;Arbeitsort;Arbeitsort-Name;Insgesamt;Männer;Frauen;Deutsche;"Ausländer + Sonstige";Auszubildende;
;;13004;Schwerin, Landeshauptstadt;11;*;*;*;*;5;
;;13071;Mecklenburgische Seenplatte;16;10;6;16;-;*;
;;130;Übrige Kreise (Regierungsbezirk);29;22;7;26;3;-;
;;130;Mecklenburg-Vorpommern;68;50;18;64;4;6;
;;13;Mecklenburg-Vorpommern;68;50;18;64;4;6;
;;14511;Chemnitz, Stadt;120;82;38;106;14;*;
;;14521;Erzgebirgskreis;19;13;6;*;*;*;
;;14522;Mittelsachsen;22;16;6;*;*;*;
;;14523;Vogtlandkreis;40;32;8;36;4;-;
;;14524;Zwickau;86;55;31;77;9;5;
;;14612;Dresden, Stadt;553;255;298;536;17;15;
;;14625;Bautzen;37;27;10;34;3;*;
;;14627;Meißen;62;42;20;52;10;-;
;;14628;Sächs. Schweiz-Osterzgebirge;19;*;*;19;-;*;
;;14713;Leipzig, Stadt;747;419;328;700;47;16;
;;14729;Leipzig;46;32;14;46;-;*;
;;14730;Nordsachsen;26;22;4;26;-;-;
;;140;Übrige Kreise (Regierungsbezirk);8;*;*;*;*;-;
;;140;Sachsen;1,785;1,019;766;1,676;109;45;
;;14;Sachsen;1,785;1,019;766;1,676;109;45;
;;15001;Dessau-Roßlau, Stadt;10;*;*;10;-;-;
;;15002;Halle (Saale), Stadt;152;98;54;145;7;3;
;;15003;Magdeburg, Landeshauptstadt;84;40;44;76;8;*;
;;15082;Anhalt-Bitterfeld;20;*;*;*;*;*;
;;15084;Burgenlandkreis;77;51;26;*;*;*;
;;15085;Harz;18;11;7;18;-;*;
;;15087;Mansfeld-Südharz;44;29;15;*;*;*;
;;15088;Saalekreis;69;52;17;66;3;*;
;;15089;Salzlandkreis;18;15;3;*;*;*;
;;15091;Wittenberg;11;*;*;11;-;*;
;;150;Übrige Kreise (Regierungsbezirk);18;14;4;18;-;-;
;;150;Sachsen-Anhalt;521;345;176;498;23;15;
;;15;Sachsen-Anhalt;521;345;176;498;23;15;
;;16052;Gera, Stadt;131;91;40;124;7;*;
;;16053;Jena, Stadt;1,089;599;490;1,040;49;27;
;;16054;Suhl, Stadt;209;132;77;189;20;*;
;;16055;Weimar, Stadt;1,748;785;963;1,677;71;50;
;;16056;Eisenach, Stadt;338;216;122;312;26;9;
;;16061;Eichsfeld;174;84;90;161;13;5;
;;16062;Nordhausen;273;137;136;259;14;11;
;;16063;Wartburgkreis;258;195;63;246;12;9;
;;16064;Unstrut-Hainich-Kreis;770;376;394;739;31;18;
;;16065;Kyffhäuserkreis;176;105;71;168;8;*;
;;16066;Schmalkalden-Meiningen;234;140;94;224;10;5;
;;16067;Gotha;2,691;1,700;991;2,559;132;73;
;;16068;Sömmerda;2,818;1,872;946;2,583;235;93;
;;16069;Hildburghausen;48;37;11;*;*;4;
;;16070;Ilm-Kreis;3,019;2,208;811;2,886;133;61;
;;16071;Weimarer Land;1,555;951;604;1,436;119;76;
;;16072;Sonneberg;35;22;13;*;*;*;
;;16073;Saalfeld-Rudolstadt;199;125;74;196;3;11;
;;16074;Saale-Holzland-Kreis;94;66;28;87;7;*;
;;16075;Saale-Orla-Kreis;49;27;22;*;*;3;
;;16076;Greiz;66;41;25;*;*;-;
;;16077;Altenburger Land;35;28;7;*;*;*;
;;160;Thüringen;16,009;9,937;6,072;15,112;897;465;
;;16;Thüringen;16,009;9,937;6,072;15,112;897;465;
;;ZZ;Auspendler in das Bundesgebiet;23,763;15,085;8,678;22,062;1,701;658;
;;Z;Auspendler insgesamt;23,763;15,085;8,678;22,062;1,701;658;
16052;Gera, Stadt;;;;;;;;;
;;01062;Stormarn;12;12;-;12;-;-;
;;010;Übrige Kreise (Regierungsbezirk);33;24;9;*;*;*;
;;010;Schleswig-Holstein;45;36;9;*;*;*;
;;01;Schleswig-Holstein;45;36;9;*;*;*;
;;02000;Hamburg, Freie und Hansestadt;57;40;17;49;8;-;
;;020;Hamburg;57;40;17;49;8;-;
;;02;Hamburg;57;40;17;49;8;-;
;;03101;Braunschweig, Stadt;16;13;3;16;-;-;
;;031;Übrige Kreise (Regierungsbezirk);22;19;3;*;*;*;
