Schluessel;Bezeichnung;Wohnort;Männer;Frauen;Deutsche;Ausländer;u. 20 J.;20 - u 25 J.;55 J. u älter;Arbeitsort;Wohnort gleich Arbeitsort;Einpendler;Auspendler;Zahl der Betriebe;Ahnung;was das ist
1053074;Krukow;53;27;26;*;*;*;3;16;*;4;*;49;*;;
1053075;Krummesse;990;487;503;972;18;20;57;222;239;71;168;919;44;;
1053076;Kuddewörde;483;249;234;458;25;10;30;95;182;25;157;458;33;;
1053077;Kühsen;147;74;73;142;5;;8;37;13;4;9;143;6;;
1053078;Kulpin;87;42;45;*;*;4;7;30;17;3;14;84;5;;
1053079;Labenz;353;179;174;348;5;5;30;69;45;12;33;341;15;;
1053080;Langenlehsten;60;36;24;*;*;*;9;15;*;;*;60;*;;
1053081;Lankau;166;95;71;166;;7;8;34;22;8;14;158;8;;
1053082;Lanze;98;50;48;95;3;3;4;22;*;*;*;*;*;;
1053083;Lauenburg/ Elbe, Stadt;3,433;1,968;1,465;3,077;353;105;312;808;2,983;929;2,051;2,504;259;;
1053084;Lehmrade;184;90;94;179;5;10;9;39;82;6;76;178;13;;
1053085;Linau;571;300;271;560;11;15;34;104;92;15;77;556;20;;
1053086;Lüchow;110;56;54;*;*;*;3;21;21;*;*;*;8;;
1053087;Lütau;202;103;99;*;*;8;14;45;121;18;103;184;23;;
1053088;Mechow;55;30;25;55;;*;4;10;11;*;*;*;4;;
1053089;Möhnsen;259;140;119;251;8;11;15;55;211;15;196;244;17;;
1053090;Mölln, Stadt;5,988;3,133;2,855;5,573;413;167;399;1,393;6,466;2,444;4,022;3,544;514;;
1053091;Mühlenrade;76;41;35;76;;4;5;15;*;;*;76;*;;
1053092;Müssen;464;245;219;445;19;14;38;77;141;27;114;437;28;;
1053093;Mustin;254;122;132;*;*;5;13;56;75;11;64;243;18;;
1053094;Niendorf bei Berkenthin;80;39;41;*;*;;3;20;*;*;*;*;*;;
1053095;Niendorf/ Stecknitz;255;138;117;251;4;12;19;57;22;5;17;250;9;;
1053096;Nusse;436;209;227;421;15;12;33;87;256;51;205;385;51;;
1053097;Panten;251;136;115;246;5;6;17;66;54;15;39;236;18;;
1053098;Pogeez;187;90;97;*;*;*;11;47;116;13;102;174;16;;
1053099;Poggensee;141;79;62;141;;5;10;25;*;*;*;*;*;;
1053100;Ratzeburg, Stadt;5,003;2,471;2,532;4,783;218;121;378;1,028;5,653;1,670;3,980;3,333;401;;
1053101;Ritzerau;129;68;61;129;;6;9;22;*;*;*;*;*;;
1053102;Römnitz;24;15;9;*;*;;*;7;*;*;*;*;*;;
1053103;Rondeshagen;326;158;168;318;8;9;31;66;72;15;57;311;18;;
1053104;Roseburg;217;109;108;209;8;7;13;54;54;9;45;208;19;;
1053106;Sahms;182;95;87;171;11;3;14;26;59;6;53;176;10;;
1053107;Salem;214;102;112;208;6;7;15;52;50;12;38;202;14;;
1053108;Sandesneben;748;381;367;732;16;16;60;154;497;103;394;645;60;;
1053109;Schiphorst;257;125;132;252;5;6;14;51;21;7;14;250;9;;
1053110;Schmilau;228;125;103;208;20;4;21;48;412;32;378;196;24;;
1053111;Schnakenbek;292;149;143;278;14;4;14;77;44;16;28;276;16;;
1053112;Schönberg;591;308;283;574;17;17;36;102;156;39;117;552;28;;
1053113;Schretstaken;182;101;81;178;4;8;9;42;42;10;32;172;13;;
1053114;Schürensöhlen;59;33;26;59;;3;*;15;5;*;*;*;3;;
1053115;Schulendorf;165;91;74;160;5;6;8;34;28;9;19;156;13;;
1053116;Schwarzenbek, Stadt;6,573;3,640;2,933;5,991;575;165;541;1,221;5,446;1,474;3,972;5,099;398;;
1053117;Seedorf;188;94;94;183;5;6;13;49;85;21;64;167;21;;
1053118;Siebenbäumen;249;133;116;*;*;8;33;37;*;6;*;243;*;;
1053119;Siebeneichen;109;56;53;103;5;4;8;25;73;6;67;103;8;;
1053120;Sierksrade;158;87;71;150;8;3;7;32;*;6;*;152;4;;
1053121;Sirksfelde;122;63;59;*;*;*;7;20;*;*;*;*;*;;
1053122;Steinhorst;236;124;112;*;*;6;11;54;*;3;*;233;*;;
1053123;Sterley;391;203;188;384;7;6;32;103;185;46;139;345;32;;
1053124;Stubben;158;85;73;*;*;5;9;46;44;6;38;152;11;;
1053125;Talkau;194;110;84;194;;9;12;46;36;*;*;*;8;;
1053126;Tramm;143;73;70;140;3;*;10;27;41;7;34;136;11;;
1053127;Walksfelde;73;42;31;70;3;*;*;11;*;*;*;*;*;;
1053128;Wangelau;59;32;27;*;*;6;3;23;11;6;5;53;4;;
1053129;Wentorf bei Hamburg;5,048;2,559;2,489;4,674;369;85;292;1,039;2,342;468;1,872;4,580;318;;
1053130;Wentorf (Amt Sandesneben);316;178;138;308;8;8;21;64;55;14;41;302;16;;
1053131;Wiershop;79;38;41;*;*;*;6;15;*;6;*;73;*;;
1053132;Witzeeze;314;155;159;310;4;10;15;54;107;13;94;301;16;;
1053133;Wohltorf;730;376;354;682;47;13;33;192;185;25;160;705;47;;
1053134;Woltersdorf;107;58;49;101;6;3;3;23;70;4;66;103;13;;
1053135;Worth;72;37;35;68;4;*;4;12;*;6;*;66;*;;
1053136;Ziethen;404;195;209;398;6;15;20;95;104;16;88;388;17;;
;;;;;;;;;;;;;;;;
