Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	BEGIN compare with counts	END compare with counts	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	compare with counts	iterationEndsListeners	iteration
39	15:31:20	15:31:20	15:31:20	15:31:20	15:31:20	15:31:20			15:31:20	15:31:20	15:31:22	15:31:22	15:31:22	15:31:22	15:31:22	15:31:22			15:31:23	15:31:23		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
40	15:31:23	15:31:23	15:31:23	15:31:23	15:31:23	15:31:23	15:31:23	15:31:23	15:31:23	15:31:23	15:31:25	15:31:25	15:31:25	15:31:25	15:31:25	15:31:25	15:31:25	15:31:25	15:31:26	15:31:26		00:00:00	00:00:00	00:00:00	00:00:00	00:00:01	00:00:00	00:00:00	00:00:00	00:00:00	00:00:02
41	15:31:26	15:31:26	15:31:26	15:31:26	15:31:26	15:31:26			15:31:26	15:31:26	15:31:27	15:31:27	15:31:27	15:31:27	15:31:27	15:31:27			15:31:28	15:31:28		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
42	15:31:29	15:31:29	15:31:29	15:31:29	15:31:29	15:31:29			15:31:29	15:31:29	15:31:30	15:31:30	15:31:30	15:31:30	15:31:30	15:31:30			15:31:31	15:31:31		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
43	15:31:31	15:31:31	15:31:31	15:31:31	15:31:31	15:31:31			15:31:31	15:31:31	15:31:33	15:31:33	15:31:33	15:31:33	15:31:33	15:31:33			15:31:34	15:31:34		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
44	15:31:34	15:31:34	15:31:34	15:31:34	15:31:34	15:31:34			15:31:34	15:31:34	15:31:36	15:31:36	15:31:36	15:31:36	15:31:36	15:31:36			15:31:37	15:31:37		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
45	15:31:37	15:31:37	15:31:37	15:31:37	15:31:37	15:31:37			15:31:37	15:31:37	15:31:39	15:31:39	15:31:39	15:31:39	15:31:39	15:31:39			15:31:40	15:31:40		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:01	00:00:02
46	15:31:40	15:31:40	15:31:40	15:31:40	15:31:40	15:31:40			15:31:40	15:31:40	15:31:42	15:31:42	15:31:42	15:31:42	15:31:42	15:31:42			15:31:43	15:31:43		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
47	15:31:43	15:31:43	15:31:43	15:31:43	15:31:43	15:31:43			15:31:43	15:31:43	15:31:45	15:31:45	15:31:45	15:31:45	15:31:45	15:31:45			15:31:45	15:31:45		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
48	15:31:46	15:31:46	15:31:46	15:31:46	15:31:46	15:31:46			15:31:46	15:31:46	15:31:47	15:31:47	15:31:47	15:31:47	15:31:47	15:31:47			15:31:48	15:31:48		00:00:00	00:00:00		00:00:00	00:00:01	00:00:00	00:00:00		00:00:00	00:00:02
